,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
74,0.483,0.322,-19.861,0.0379,0.823,0.0289,0.0981,0.607,86.303,1ASQZ8acmZj1IOFoXggUf9,223973
75,0.624,0.361,-12.395,0.0332,0.931,0.946,0.12,0.672,105.539,6py8BqF0Lk1P8YoXXTRw5P,273950
76,0.45,0.303,-7.967,0.0491,0.71,0.885,0.116,0.259,149.267,4I7WbrlfomZlIv4mveJ76x,263525
77,0.262,0.828,-7.089,0.159,0.00215,0.752,0.155,0.673,147.52,5RHN9R3BqScU4Jzu84U7pZ,298969
78,0.735,0.48,-13.532,0.0605,0.739,0.0364,0.102,0.891,84.039,2YEs2mLzFu8RcdAHFQghhv,270560
79,0.626,0.546,-7.621,0.0262,0.275,0.0164,0.109,0.928,104.229,4s86JE28MM4q3xPmBGI6rn,202253
80,0.329,0.887,-5.06,0.0516,0.331,0.82,0.085,0.565,156.898,32ORiXJSpjsxEBh53n03U4,290800
81,0.401,0.556,-11.314,0.0453,0.239,0.705,0.0948,0.808,155.933,3HsUImLYZkBYmCLAtvRFVl,256320
82,0.432,0.862,-6.088,0.0701,0.137,0.015,0.316,0.699,83.005,0JRBZ5RZGLhZKUoDIgaxQc,268640
83,0.586,0.619,-7.787,0.0605,0.581,0.00425,0.11,0.304,79.531,6T0wxfTmgWw67QM6IJQvU4,353147
84,0.685,0.797,-5.372,0.0558,0.506,0.00923,0.069,0.926,98.614,1sXLitmQULzwiWR8D38Ekw,267533
85,0.661,0.693,-10.965,0.0396,0.609,0.799,0.136,0.944,155.125,6KnZ9iov6qX5ZZBLS0pUPF,218076
86,0.376,0.522,-11.401,0.127,0.794,0.107,0.106,0.304,80.304,3b45LikcYpvV5YQE4XcnZI,257974
87,0.548,0.351,-12.325,0.046,0.94,0.00241,0.108,0.613,122.973,5RhFZ82NnuUrRxQOWphUI3,274627
88,0.551,0.585,-7.479,0.0344,0.284,0.632,0.0933,0.556,160.029,5JMebtqw62DkVHPsUJMKvh,311253
