,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,id
112,0.819,0.457,-12.641,0.126,0.00585,0.000127,0.0661,0.61,112.027,296975,3,6L1UdBhj6v8Ol9qKHBtvLN
113,0.819,0.817,-8.221,0.0698,0.0593,0.201,0.275,0.77,120.039,148000,3,5UwxpuGHkwiojKDaPC5ZNu
114,0.719,0.756,-5.392,0.0761,0.0541,0.0,0.109,0.647,105.024,219500,3,25Kyv5SeEenT0EETpP2hYn
115,0.697,0.653,-7.284,0.102,0.166,0.231,0.0911,0.627,99.982,174545,3,6oOCGD2Sp9UTcDsuDz8Hdu
116,0.92,0.716,-7.104,0.105,0.296,0.00222,0.104,0.961,115.991,183103,3,4eZZofkV1OQ9GDqAgHqNpA
117,0.699,0.703,-7.651,0.273,0.517,0.0216,0.112,0.478,195.864,171429,1,7AbLGIOzFkx6jHq5en5xiH
118,0.744,0.627,-9.216,0.118,0.0496,0.000701,0.1,0.56,104.12,159500,3,1LRGZESVn8eF7WVY5DzLNy
119,0.847,0.72,-7.066,0.0375,0.0475,0.0,0.668,0.113,112.997,275148,0,6RzTv3JiPndZpv0Lq3kGHO
120,0.481,0.66,-10.189,0.0761,0.35,0.0,0.108,0.504,111.832,159100,3,0GfCR4T6WOErZOw1557ln7
121,0.788,0.913,-4.495,0.0671,0.243,0.0689,0.272,0.672,99.994,196800,3,4MzOppXoeKvDsVaNMeOK3C
122,0.779,0.79,-6.246,0.0612,0.0691,2.24e-05,0.506,0.484,113.064,123717,0,2wgvxtggKVzPkl0smF2UzI
123,0.872,0.555,-6.677,0.122,0.433,3.53e-06,0.125,0.544,113.998,187632,3,5o3dCqgRTiSt6MC3Gi0jzj
124,0.897,0.7,-2.776,0.117,0.0193,0.009,0.12,0.755,101.944,209760,3,6jdTkoEaer7XNGSblczoSu
125,0.737,0.663,-6.981,0.101,0.287,0.0508,0.523,0.839,98.014,181224,0,2jZ2MrAk8iNZk1dsI0Vr5z
126,0.787,0.746,-5.83,0.053,0.149,0.0014,0.275,0.722,117.905,172881,3,47rtDAZmqRUjba0V1en3XY
127,0.827,0.705,-6.756,0.0429,0.0813,0.00556,0.102,0.624,113.006,213992,3,1zwZ26A7OA5wTrA3FejCLL
128,0.597,0.739,-5.517,0.168,0.585,1.59e-05,0.212,0.73,104.808,178414,3,4yaPPFIafaVaMRHZ5IHkbA
129,0.923,0.657,-5.173,0.0605,0.199,0.00407,0.108,0.734,110.015,179775,3,0SjQBdIddPvKSWxr8vk6QX
130,0.823,0.717,-3.879,0.0704,0.0356,0.0,0.102,0.489,110.998,132913,3,6McBvfxgkVfREmQPwTKBUn
131,0.853,0.702,-5.822,0.112,0.627,6.26e-06,0.0947,0.895,116.994,136465,3,7qxtOyjZ2zSaxBPH8fLyNi
132,0.755,0.685,-3.724,0.0631,0.065,0.00186,0.107,0.799,76.683,211875,3,3aGroTtXwkWJ7wOwKEI8Px
133,0.905,0.747,-6.622,0.0442,0.117,0.000364,0.0505,0.866,117.008,166154,3,7d1aTQlsHMgWmkPywDi7h1
134,0.873,0.658,-8.031,0.108,0.00858,0.0061,0.0999,0.483,104.033,189800,3,3ketN3dth18vSJ1T3HIztN
135,0.812,0.775,-6.879,0.0389,0.0272,0.00191,0.121,0.582,104.983,176988,3,4Mlgf7GD6bbx09N4uxqU3S
136,0.798,0.556,-8.985,0.0471,0.364,8.31e-06,0.163,0.901,113.994,155861,3,2woGTVY8Vx46aYuXfMmwwE
137,0.914,0.721,-6.966,0.0413,0.0642,0.0352,0.0794,0.481,114.053,182073,3,7zhLSGUbneW7Tm3wpp3HjY
138,0.818,0.513,-11.382,0.0574,0.106,0.00105,0.0408,0.583,115.01,186000,3,7tZMF9Hn5uGsfC7zGXbSKM
139,0.931,0.676,-7.492,0.0498,0.0152,0.0,0.103,0.739,111.948,165000,3,6NKuW3yaNXtloGw1RB8WUi
140,0.654,0.666,-6.618,0.185,0.412,0.00493,0.113,0.804,209.929,192000,1,45Vvoe20MW6GD7FwoacZc8
141,0.543,0.482,-5.927,0.0526,0.286,0.000395,0.101,0.522,133.369,201600,3,4vLY6fJQWgBzQYHzguDZme
142,0.519,0.626,-6.353,0.0934,0.501,6.95e-06,0.161,0.394,102.293,176000,3,5X55V3mn3RTvHAheUtL6LR
143,0.737,0.806,-7.611,0.0685,0.117,0.0,0.275,0.502,125.018,246500,3,0xPz8qjfchKRCAmABJH65Z
144,0.808,0.769,-7.207,0.0833,0.101,4.12e-05,0.119,0.685,116.001,153103,3,1mJFFeluclL38IwV264lm9
145,0.806,0.915,-3.102,0.0296,0.17,0.0,0.281,0.967,110.025,196472,3,4QrZSUg5xCZpFKDIhJMU2Q
146,0.821,0.611,-8.967,0.0535,0.0131,0.00393,0.0395,0.431,113.006,327080,3,16vqEDaCZpq5zdgop8U9uM
147,0.804,0.696,-7.269,0.0476,0.029,0.000707,0.0602,0.764,109.995,224294,3,0h9NbR0ozxlNVnTXOX8xjk
148,0.774,0.825,-5.855,0.0408,0.0164,6.77e-05,0.271,0.668,120.989,186446,3,47FuxUowVBxua1XxsbLKKX
149,0.861,0.598,-11.155,0.0665,0.00483,0.0607,0.0306,0.417,113.006,374849,3,1hsFJ92y0FU2cFOOLkEFVr
150,0.66,0.878,-6.647,0.0596,0.212,0.663,0.16,0.264,129.004,213800,4,3JsH3qnwhYGs20PBMsCgNx
151,0.716,0.881,-7.027,0.0536,0.000561,0.67,0.216,0.293,123.984,220887,4,5SfcsMI2nJhdZpmwCcNEGf
152,0.636,0.869,-5.289,0.0412,0.0378,0.0446,0.0808,0.306,143.011,186496,3,5eTaQYBE1yrActixMAeLcZ
153,0.925,0.561,-8.675,0.176,0.0659,0.0271,0.152,0.721,128.034,181365,3,59QDyqLww2pxyg9ijOPO7f
154,0.847,0.69,-7.877,0.0493,0.0127,6e-05,0.0526,0.692,125.004,186662,3,4zN21mbAuaD0WqtmaTZZeP
155,0.852,0.988,-6.007,0.0588,0.00951,0.302,0.0629,0.67,128.013,181875,3,6t4VHEcJ7Kek9pgGHlDp6R
156,0.751,0.834,-7.018,0.0713,0.0749,0.000505,0.149,0.563,133.972,175246,3,2K6qq0V7jXSlhucLr8R74Z
157,0.714,0.917,-6.649,0.0869,0.0509,0.823,0.0725,0.579,160.057,240060,4,43OMUa5jouGCZEz9k9vooo
158,0.668,0.723,-9.315,0.0395,0.000646,0.85,0.205,0.0322,123.999,325744,4,0kXPOcMLExBxGeS4YJexzk
159,0.753,0.872,-7.552,0.0478,0.000998,0.291,0.0774,0.573,139.996,241825,3,0Ex4dfzYtS1tgoubw8jLod
160,0.555,0.918,-10.394,0.034,0.00721,0.861,0.104,0.1,121.988,283902,4,6PzfuuQ95fRU9JRFSFFq77
161,0.534,0.854,-7.468,0.0344,0.00239,0.0441,0.138,0.477,135.013,166000,3,63MBVrJ8nADdP4AXbBGlOj
162,0.51,0.842,-9.901,0.038,0.00128,0.852,0.146,0.146,132.0,421818,4,5bAmqp96l9YO7V8LW5sUjZ
163,0.713,0.837,-5.96,0.0368,0.0283,0.0,0.0722,0.351,137.979,175676,3,5r2620VyMS4JpB9UhmYjpG
164,0.736,0.906,-7.589,0.048,0.164,0.585,0.106,0.698,137.001,226627,3,39JofJHEtg8I4fSyo7Imft
165,0.612,0.862,-2.903,0.037,0.041,0.0,0.0907,0.354,123.849,160766,3,4laAKIq9ZxBCwf99rauPYb
166,0.56,0.832,-6.432,0.0363,0.00953,0.00541,0.546,0.0818,126.0,236000,0,4qDpLaFGf5ampf2DXD2TMA
167,0.804,0.875,-6.975,0.059,0.0289,0.484,0.0469,0.809,130.011,247385,3,536rYtZCAq33yLmthsLTfE
168,0.683,0.932,-10.402,0.0513,0.0389,0.605,0.0615,0.553,125.002,235786,4,0w7JPlp7eEQI2EKW3ayXrv
