,Unnamed: 0,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
65,65,0.246,0.144,-23.904,0.0456,0.994,0.902,0.0908,0.0558,66.196,2mTYDD0oiG5L4BEvMPZsOO,36453
66,66,0.199,0.0677,-20.879,0.039,0.786,0.738,0.225,0.145,78.866,2LiWNkeUOAeibGxJKxmjsD,307827
67,67,0.249,0.225,-16.879,0.0343,0.901,0.89,0.0987,0.158,77.956,5D6GPHLuelrjivumi4YWwt,279930
68,68,0.183,0.0157,-25.289,0.0374,0.993,0.962,0.0839,0.0373,73.068,5J43zdQTc8ekUdknGU6c5M,149200
69,69,0.151,0.0472,-25.197,0.0452,0.924,0.818,0.0716,0.0471,139.44,1xxtp0zJZNTyMeE7vzKBOW,156333
70,70,0.294,0.00785,-29.64,0.0667,0.994,0.956,0.0929,0.173,70.958,1PINN6x0Riouab3wPSglpp,158520
71,71,0.484,0.0193,-25.031,0.0477,0.993,0.936,0.0706,0.0732,70.447,4kRZaiCbkpJWo6yxjuUrAF,223653
72,72,0.2,0.0783,-24.392,0.0596,0.933,0.165,0.111,0.0406,97.801,6Teem6p2CvvB9HDr2MUBq4,372840
73,73,0.0979,0.0801,-19.643,0.0458,0.941,0.431,0.115,0.0608,75.314,7nGA1sRfLDWXYb3VPstnZf,192420
74,74,0.285,0.00453,-29.871,0.0459,0.995,0.845,0.109,0.0587,70.075,7msmTNDbP3QWWuevPxcm48,230181
0,0,0.384,0.0414,-23.019,0.0378,0.992,0.897,0.0684,0.0618,71.224,5Pl2CXDkaP6WEnJ0bpKGOm,326520
1,1,0.219,0.154,-18.17,0.0389,0.841,0.855,0.164,0.108,123.625,3Hcn3NlLeDU4uQf0qJaaMt,616187
2,2,0.223,0.227,-17.695,0.0343,0.871,0.891,0.063,0.127,103.618,0XSRBlP49MgzBCYtGK2NYE,469053
3,3,0.177,0.127,-19.167,0.0394,0.903,0.901,0.114,0.0612,149.698,6HknRM996YMa7VSBFYlnPJ,485667
4,4,0.366,0.0433,-30.56,0.0416,0.99,0.903,0.085,0.356,88.452,7FTzC8srNaQ0fTNOCyPeib,204007
